"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-05-26","0.00",",,7,0700","0.0",",,7,","0.0",",,7,","83",",,7","61",",,7","64",",,7,0700","0.0",",,7",,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-05-27","0.00","T,,7,0700","0.0",",,7,","0.0",",,7,","83",",,7","64",",,7","70",",,7,0700","0.0",",,7",,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-05-28","0.00",",,7,0700","0.0",",,7,","0.0",",,7,","86",",,7","66",",,7","69",",,7,0700","0.0",",,7",,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-05-29","0.00","T,,7,0700","0.0",",,7,","0.0",",,7,","87",",,7","69",",,7","72",",,7,0700","0.0",",,7",,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-05-30","0.00","T,,7,0700","0.0",",,7,","0.0",",,7,","86",",,7","63",",,7","65",",,7,0700","0.0",",,7",,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-05-31","0.00","T,,7,0700","0.0",",,7,","0.0",",,7,","83",",,7","59",",,7","65",",,7,0700",,,"    1",",,7",,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-06-01","0.00",",,7,0700","0.0",",,7,","0.0",",,7,","82",",,7","61",",,7","63",",,7,0700","0.0",",,7",,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-06-02","0.00",",,7,0700","0.0",",,7,","0.0",",,7,","85",",,7","63",",,7","70",",,7,0700","0.0",",,7",,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-06-03","0.29",",,7,0700","0.0",",,7,","0.0",",,7,","74",",,7","68",",,7","69",",,7,0700","0.0",",,7",,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-06-04","0.06",",,7,0700","0.0",",,7,","0.0",",,7,","79",",,7","66",",,7","66",",,7,0700","0.0",",,7","    1",",,7",,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-06-05","0.03",",,7,0700","0.0",",,7,","0.0",",,7,","76",",,7","66",",,7","71",",,7,0700","0.0",",,7",,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-06-06","0.56",",,7,0700","0.0",",,7,","0.0",",,7,","71",",,7","61",",,7","65",",,7,0700","0.0",",,7",,,"    1",",,7",,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-06-07","0.24",",,7,0700","0.0",",,7,","0.0",",,7,","77",",,7","60",",,7","63",",,7,0700",,,,,"    1",",,7",,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-06-08","0.09",",,7,0700","0.0",",,7,","0.0",",,7,","73",",,7","54",",,7","55",",,7,0700","0.0",",,7",,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-06-09","0.16",",,7,0700","0.0",",,7,","0.0",",,7,","58",",,7","46",",,7","52",",,7,0700","0.0",",,7",,,,,,,,,,,,
